"","x"
"295",-2.11847992015795
"296",-2.11848515942325
"297",-2.11850233001223
"298",-2.11847982310732
"299",Inf
"300",-2.11849703666398
"301",-2.11849481072599
"302",-2.1185029314259
"303",Inf
"304",-2.11849752869519
"305",-2.11849744949814
"306",-2.09543948560122
"307",-2.11850002083766
"308",-2.11850016059937
"309",-2.11849945174144
"310",-2.11850010019762
"311",Inf
"312",-2.11849826510311
"313",-2.11824077231679
"314",Inf
"315",-2.11850093242428
"316",Inf
"317",-2.11850026276216
"318",Inf
"319",-2.11850127652381
"320",Inf
"321",-2.11849964847638
"322",-2.11850086009355
"323",-2.11850302038709
"324",-2.11850084189071
"325",Inf
"326",-2.11838768110705
"327",-2.11841597958337
"328",-2.11850100615606
"329",-2.11850050311563
"330",-2.10373066153836
"331",Inf
"332",-2.07945590132567
"333",-2.11850055243422
"334",Inf
"335",-2.11849420809805
"336",-2.11849559735913
"337",-2.11850051933
"338",-2.08333569916938
"339",-2.11850152850599
"340",-2.1185001497766
"341",Inf
"342",-2.11849894288089
"343",-2.05257466090931
"344",Inf
"345",-2.11848675953294
"346",-2.09350337237562
"347",-2.11849865741664
"348",-2.0809520744975
"349",-2.11850159529072
"350",-2.11849832686324
"351",-2.08249487894366
"352",-2.11846895989113
"353",-2.11850060555208
"354",-2.11850138492109
"355",-2.11849875380193
"356",-2.11850097751759
"357",-2.07308555025056
"358",-2.09932780646976
"359",Inf
"360",-2.10032968101386
"361",-2.07918736340629
"362",-2.11849923864252
"363",-2.0762802379544
"364",-2.1184997089368
"365",-2.11850142828128
"366",-2.11849968692635
"367",-2.11848687495367
"368",-2.09965881511036
"369",-2.11849532479727
"370",-2.11849736276873
"371",-2.11850095313573
"372",-2.11845268727264
"373",Inf
"374",-2.11849891220376
"375",-2.11850254162973
"376",-2.10101369866922
"377",-2.11850302038722
"378",-2.11850000141967
"379",-2.11850195040276
"380",-2.11849765345354
"381",Inf
"382",-2.1184982020384
"383",-2.11850163709308
"384",Inf
"385",-2.0727881588781
"386",-2.11848162023242
"387",Inf
"388",-2.11849612373519
"389",-2.11849989323436
"390",-2.11849936148259
"391",Inf
"392",-2.11849859013267
"393",-2.11849413065624
"394",-2.11849650260686
"395",-2.11850097395647
"396",Inf
"397",-2.11849749214412
"398",-2.11849753972905
"399",-2.10007604141963
"400",-2.11849761201057
