"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",-1.21749208836822,0.744879547612752,10,1.70483472167609,-0.229179129116738,0.772929875320177,-1.9145686704025,1.92173914744564,0.913175709088752
"2",-1.22490537372923,0.744133296127358,10,1.69971398290809,-0.364411571474477,0.767518870561447,-8.03134887199971,3.92742940977037,0.913038918251878
"3",1.15810007315609,0.01,7.18064411641207,7.46498088868526,-2,0.251090825989995,-2.82313350948148,7.4433458101527,0.960949950394373
"4",-1.22331698306952,0.744278937363929,10,1.70077433676954,-0.355693567249087,0.768107455430699,-6.66118649644132,3.6954914878253,0.913049355649265
"5",1.61057797726244,0.894591604429297,9.02654229866178,9.12380044884048,1.61057797726244,0.894591604429297,-0.982581501787063,9.12380044884048,0.886163230986481
"6",-1.22079157007707,0.744527154178769,10,1.70249443997284,-0.33184723537795,0.769406402839456,-4.41952081140299,3.16766354465748,0.913079802820443
"7",-1.22343040691618,0.744313508547634,10,1.70077306334737,-0.331001913895967,0.769315475561945,-4.35467625245978,3.1473763772827,0.913076941413942
"8",-1.22564203826234,0.744083530273653,10,1.69925578343706,-0.361016314547136,0.767753045490036,-7.44611062907102,3.8340535207486,0.913048376170379
"9",-1.23519738436009,0.743357322615772,10,1.6931411464666,-0.348134902928493,0.768223061857099,-5.70718800630513,3.49830918931906,0.913069329381817
"10",1.55299183074385,0.880482998532243,8.88259132890194,8.99423161917366,1.55299183074385,0.880482998532243,-1.12640290271724,8.99423161917366,0.872029558765485
"11",-1.22331056801031,0.744271303062628,10,1.70076659292388,-0.358399105290697,0.767947971772224,-7.04536849875056,3.76561021381,0.91304592358175
"12",1.46774536844884,0.01,7.71491285452401,7.94381181799011,-2,0.176790824285463,-2.29433290001815,7.9410050246712,0.942025151238473
"13",1.67041032016277,0.909250528439879,9.17610819782689,9.25842322036624,1.67041032016277,0.909250528439879,-0.833150225393474,9.25842322036624,0.900848199054185
"14",-1.22221684648001,0.744299517222931,10,1.70140058761151,-0.364154611167036,0.767647117597901,-8.01686135782197,3.9259246718986,0.913031678295935
"15",1.23242272529751,0.80194356769789,8.08124870756245,8.2729511319194,1.23242272529751,0.80194356769789,-1.92702424356947,8.2729511319194,0.793350589352349
"16",1.41141982802289,0.01,7.59430171390075,7.84104323771321,-2,0.166098081453501,-2.42473002298226,7.8150674264172,0.940479817842731
"17",1.51019898056984,0.869998750239611,8.77561990167946,8.89794770628214,1.51019898056984,0.869998750239611,-1.23327804602683,8.89794770628214,0.861526683433023
"18",-1.21388711109395,0.745126437179082,10,1.70706851062245,-0.305243287575968,0.770484813280325,-3.19236110186676,2.72135811068589,0.913102546476035
"19",1.41807105671614,0.847427408895455,8.54532312402618,8.69065987761132,1.41807105671614,0.847427408895455,-1.46336753585143,8.69065987761132,0.838915240284476
"20",-1.22431633769724,0.74417042424551,10,1.70008406480633,-0.366095601886781,0.76744856167778,-8.36693744952309,3.97787104174471,0.913036249476793
"21",-1.22427482682942,0.744167621709045,10,1.70009948867469,-0.36782509121142,0.767329341407651,-8.72049299040958,4.02846572309654,0.913032152962479
"22",-1.22468560800357,0.744172628388649,10,1.69988575049635,-0.357850089143129,0.767897284211539,-6.95227427875982,3.74830232598421,0.913045723868497
"23",1.08883098496358,0.0119680754058058,7.05502787262232,6.86164957742196,-2,0.266876684295235,-2.51383892911309,7.93100527518571,0.964547622061285
"24",1.18707031290978,0.790832226662897,7.96787901469623,8.17090820404701,1.18707031290978,0.790832226662897,-2.04029189350782,8.17090820404701,0.782219507141237
"25",-1.22319992326755,0.74430284087751,10,1.70087632684374,-0.347329151612101,0.768572274188717,-5.67202394323539,3.49210911671047,0.913060783972544
"26",-1.22482368804757,0.744125259884173,10,1.69974553689439,-0.366821699182561,0.767391689594702,-8.5090203564315,3.99849215213933,0.913033308630996
