"","x"
"313",Inf
"314",-2.13222914528055
"315",-2.13226899986534
"316",-2.13229825310194
"317",-2.13224993463893
"318",-2.13231396997693
"319",-2.13230150943294
"320",-2.13225730836155
"321",Inf
"322",-2.13230143475028
"323",-2.13231446006957
"324",-2.13229827861168
"325",-2.13228819196012
"326",-2.13230705464519
"327",Inf
"328",-2.13230271097841
"329",Inf
"330",-2.13203752883764
"331",Inf
"332",-2.13226334608022
"333",-2.13224194090029
"334",Inf
"335",-2.13229994852514
"336",-2.13223155407632
"337",Inf
"338",Inf
"339",Inf
"340",-2.13231392363448
"341",-2.13217439017456
"342",Inf
"343",-2.13224425198869
"344",-2.13230210408006
"345",Inf
"346",-2.13231580183024
"347",-2.13230220337763
"348",Inf
"349",Inf
"350",Inf
"351",-2.13230975492726
"352",-2.13228497032649
"353",Inf
"354",-2.13227380256854
"355",Inf
"356",-2.1322477883042
"357",-2.13231310831401
"358",Inf
"359",-2.13227023040714
"360",Inf
"361",-2.13228350942482
"362",-2.13223476023405
"363",Inf
"364",Inf
"365",-2.13223774846619
"366",Inf
"367",-2.1321055070957
"368",Inf
"369",Inf
"370",-2.13230567094034
"371",-2.13201093223168
"372",-2.13226250273964
"373",-2.1322418054348
"374",-2.13212666576081
"375",Inf
"376",Inf
"377",-2.13231258832267
"378",-2.13227365641666
"379",-2.13225955050338
"380",-2.13227708120883
"381",-2.13227976749218
"382",-2.13230614089015
"383",Inf
"384",-2.13231087314689
"385",-2.13211987509952
"386",-2.13211097144052
"387",-2.13231582261743
"388",-2.13231520624836
"389",-2.13221259060843
"390",Inf
"391",Inf
"392",-2.13230540637465
"393",-2.13220543960984
"394",-2.13228091900498
"395",-2.13225533823193
"396",-2.13226657195764
"397",-2.13229470870218
"398",-2.13230168276103
"399",Inf
"400",-2.13218780391904
